method,N,runtime,memory_mb,log_N,log_t,log_m
FDM,64,0.007495874975575134,0.07039642333984375,1.806179973983887,-2.125177665699605,-1.1524494056764818
FDM,128,0.020221915998263285,0.10502815246582031,2.1072099696478683,-1.6941776980006396,-0.9786942740559746
FDM,256,0.059402333019534126,0.26180267333984375,2.4082399653118496,-1.2261964978199413,-0.5820259230609901
FDM,512,0.21498612500727177,0.5202827453613281,2.709269960975831,-0.6675895681179983,-0.28376057679206584
FDM,1024,0.9013989160011988,0.9317760467529297,3.010299956639812,-0.04508296853593192,-0.030688458189941564
FDM,2048,3.768795250012772,1.82293701171875,3.3113299523037933,0.5762025438690697,0.2607716626563064
FEM,64,0.027299625013256446,0.042206764221191406,1.806179973983887,-1.56384331837287,-1.3746179417273199
FEM,128,0.0780055409995839,0.07322025299072266,2.1072099696478683,-1.1078745467957607,-1.1353687748769814
FEM,256,0.27497100000618957,0.10469818115234375,2.4082399653118496,-0.5607131069021346,-0.980060862947345
FEM,512,1.0027029579796363,0.20186901092529297,2.709269960975831,0.001172296114571936,-0.6949303448359317
FEM,1024,3.846082584001124,0.42843151092529297,3.010299956639812,0.5850186052771151,-0.3681185945215573
FEM,2048,17.65317825000966,0.881892204284668,3.3113299523037933,1.2468229064479583,-0.054584496438908996
Spectral,64,0.003244541003368795,0.01976776123046875,1.806179973983887,-2.488846733009532,-1.7040425133018555
Spectral,128,0.006205708021298051,0.03588104248046875,2.1072099696478683,-2.2072086618363076,-1.4451349475416009
Spectral,256,0.01116399999591522,0.0683441162109375,2.4082399653118496,-1.95218017234231,-1.1652988681790113
Spectral,512,0.007046541984891519,0.1328277587890625,2.709269960975831,-2.1520239561029366,-0.8767111551703491
Spectral,1024,0.0055741670075803995,0.2617340087890625,3.010299956639812,-2.253820023533721,-0.5821398430085146
Spectral,2048,0.004811207996681333,0.5195465087890625,3.3113299523037933,-2.3177458674045797,-0.2843755691725261
